i,timestamp,side,entry,R,hold_bars
65,2025-04-01 01:05:00,short,82603.78,-0.8864543050090118,422
115,2025-04-01 01:55:00,long,82698.11,0.8845165387981017,695
148,2025-04-01 02:28:00,long,82882.59,0.9660393645537642,620
187,2025-04-01 03:07:00,short,83114.65,-0.7509724817208552,310
218,2025-04-01 03:38:00,short,83020.82,-0.8414432432688614,277
249,2025-04-01 04:09:00,short,82908.24,-0.9669282511210728,189
280,2025-04-01 04:40:00,long,83158.54,0.7680605501478582,488
319,2025-04-01 05:19:00,long,83300.57,0.618359052472758,449
350,2025-04-01 05:50:00,short,83115.08,-0.6142408219197382,62
381,2025-04-01 06:21:00,short,83049.99,-0.9298602365862162,79
428,2025-04-01 07:08:00,short,83414.64,-0.9938800347725352,85
467,2025-04-01 07:47:00,short,83500.68,-0.9270754038738208,73
510,2025-04-01 08:30:00,short,83973.47,0.0,382
541,2025-04-01 09:01:00,short,84271.44,0.0,353
600,2025-04-01 10:00:00,short,84311.68,0.0,300
631,2025-04-01 10:31:00,short,84358.23,0.0,272
663,2025-04-01 11:03:00,short,84115.23,0.0,229
697,2025-04-01 11:37:00,short,83872.85,0.0,194
764,2025-04-01 12:44:00,short,83749.99,0.0,127
813,2025-04-01 13:33:00,short,83626.45,0.0,76
846,2025-04-01 14:06:00,short,83172.14,-0.9158637268922675,97
877,2025-04-01 14:37:00,short,83230.0,-0.9999999999999977,1389
910,2025-04-01 15:10:00,short,84424.76,-0.7940123059968778,1437
1084,2025-04-01 18:04:00,short,84829.99,0.0,901
1117,2025-04-01 18:37:00,short,85124.45,0.0,875
1352,2025-04-01 22:32:00,long,85239.42,-0.7821734124449438,372
1386,2025-04-01 23:06:00,short,85017.52,0.37204426030720567,595
1417,2025-04-01 23:37:00,long,85233.36,-0.9704142011834264,335
1569,2025-04-02 02:09:00,short,84892.46,0.02497056766026989,416
1634,2025-04-02 03:14:00,long,84839.99,-0.9672785785513641,176
1698,2025-04-02 04:18:00,long,84685.61,0.0,443
1729,2025-04-02 04:49:00,short,84494.76,0.0,217
1760,2025-04-02 05:20:00,short,84277.75,-0.630962569989368,193
1798,2025-04-02 05:58:00,short,84134.92,-0.786685776474729,155
1836,2025-04-02 06:36:00,short,84168.07,-0.8532923448521775,149
1868,2025-04-02 07:08:00,short,84074.06,-0.9577389408468403,117
1901,2025-04-02 07:41:00,long,84333.47,3.0,472
1936,2025-04-02 08:16:00,short,84262.74,-1.000000000000003,57
1967,2025-04-02 08:47:00,short,84642.29,-0.829994136262558,290
1998,2025-04-02 09:18:00,short,85106.05,-0.5226434502186923,268
2031,2025-04-02 09:51:00,short,85039.97,-0.6186898407541183,238
2068,2025-04-02 10:28:00,short,85046.61,0.0,151
2135,2025-04-02 11:35:00,short,84785.13,-0.6949720192682216,122
2173,2025-04-02 12:13:00,short,84714.02,-0.9979606358242159,93
2204,2025-04-02 12:44:00,short,84969.57,-0.6446365709256663,62
2236,2025-04-02 13:16:00,short,84733.85,-0.8338578516952981,30
2293,2025-04-02 14:13:00,short,85516.3,0.7360416407786023,2881
2368,2025-04-02 15:28:00,short,86511.86,-0.817048763556703,288
2400,2025-04-02 16:00:00,short,86749.41,0.7013348666260675,2420
2501,2025-04-02 17:41:00,short,86507.33,-0.795703325433089,155
2549,2025-04-02 18:29:00,short,86236.46,-0.9812463138873921,107
2580,2025-04-02 19:00:00,short,86362.01,-0.8790214623273058,74
2637,2025-04-02 19:57:00,long,86961.92,0.0,29
2677,2025-04-02 20:37:00,short,85397.14,0.2085942366566596,2881
2708,2025-04-02 21:08:00,short,84956.92,0.12181196746098315,2881
2739,2025-04-02 21:39:00,short,84641.72,0.0030911313552781524,2177
2770,2025-04-02 22:10:00,short,83761.77,0.0,2016
2814,2025-04-02 22:54:00,short,82940.24,-0.5031097534846993,2031
2845,2025-04-02 23:25:00,short,82720.0,-0.49763850680307903,1955
2883,2025-04-03 00:03:00,short,82212.02,-0.685827377784537,1884
2928,2025-04-03 00:48:00,short,83042.52,0.0,1378
2961,2025-04-03 01:21:00,short,83203.72,0.0,1347
3023,2025-04-03 02:23:00,short,83467.89,0.18077198826272114,1285
3066,2025-04-03 03:06:00,short,83550.0,0.4751568248989594,1228
3107,2025-04-03 03:47:00,short,83450.01,0.623785299833839,1187
3138,2025-04-03 04:18:00,short,83349.97,0.5064826196093702,1156
3169,2025-04-03 04:49:00,long,83571.6,-0.7931847690717853,452
3201,2025-04-03 05:21:00,short,83567.08,0.7381167412434427,1093
3232,2025-04-03 05:52:00,short,83422.97,0.6707707237999514,1062
3263,2025-04-03 06:23:00,short,83304.78,0.5106374512560388,1031
3297,2025-04-03 06:57:00,short,83016.0,0.1072718758362064,997
3338,2025-04-03 07:38:00,short,83285.17,0.2862295225799837,956
3386,2025-04-03 08:26:00,short,83580.72,0.6601826732139037,908
3420,2025-04-03 09:00:00,short,83677.11,0.8208291965992892,874
3451,2025-04-03 09:31:00,short,83685.59,0.9130667022768001,843
3482,2025-04-03 10:02:00,short,83531.45,0.8262817187567006,812
3513,2025-04-03 10:33:00,short,83328.18,0.32799564375135964,781
3544,2025-04-03 11:04:00,short,83105.24,0.10216662506809027,762
3576,2025-04-03 11:36:00,short,83183.61,0.22248721512323894,718
3607,2025-04-03 12:07:00,short,82902.81,0.0,686
3638,2025-04-03 12:38:00,short,82447.39,0.0,508
3669,2025-04-03 13:09:00,short,81908.66,-0.8278948735461878,1098
3700,2025-04-03 13:40:00,short,82436.5,-0.5880191568682013,1100
3731,2025-04-03 14:11:00,short,81987.68,-0.7991033995352349,1185
3770,2025-04-03 14:50:00,short,81400.01,-0.9702776138047957,1030
3849,2025-04-03 16:09:00,short,82079.21,-0.7294551621446206,905
3880,2025-04-03 16:40:00,short,82067.98,-0.7259012771803692,873
3911,2025-04-03 17:11:00,short,81854.63,-0.8124768512802751,397
3942,2025-04-03 17:42:00,short,82045.77,-0.6894529975453392,366
3973,2025-04-03 18:13:00,short,81721.43,-0.8780630772310165,321
4198,2025-04-03 21:58:00,long,82843.01,0.0,237
4231,2025-04-03 22:31:00,short,82796.57,-0.7584198150410211,536
4317,2025-04-03 23:57:00,long,83137.26,0.5721139217397151,617
4380,2025-04-04 01:00:00,short,83060.06,-0.6090637362637408,406
